test_name,age_c,age_group,test_slope,interaction_p
RAVLT,-15,Younger (-1SD),0.016775916017789,1.0
RAVLT,0,Mean Age,0.016968124433713,1.0
RAVLT,15,Older (+1SD),0.017160332849637,1.0
BVMT,-15,Younger (-1SD),0.0390925325412184,0.9537615891641864
BVMT,0,Mean Age,0.0295612288358479,0.9537615891641864
BVMT,15,Older (+1SD),0.0200299251304774,0.9537615891641864
NART,-15,Younger (-1SD),0.014075116165338799,1.0
NART,0,Mean Age,0.0107911075109543,1.0
NART,15,Older (+1SD),0.0075070988565698,1.0
RPM,-15,Younger (-1SD),0.0286798372292958,1.0
RPM,0,Mean Age,0.0295693301791063,1.0
RPM,15,Older (+1SD),0.0304588231289168,1.0
RAVLT_Pct_Ret,-15,Younger (-1SD),0.023068245949658242,1.0
RAVLT_Pct_Ret,0,Mean Age,0.023081487905447,1.0
RAVLT_Pct_Ret,15,Older (+1SD),0.023094729861235758,1.0
BVMT_Pct_Ret,-15,Younger (-1SD),0.00868909428027059,1.0
BVMT_Pct_Ret,0,Mean Age,0.0100231645556343,1.0
BVMT_Pct_Ret,15,Older (+1SD),0.01135723483099801,1.0
