UID,confidence_theta,se_theta
A010,-0.49896600999999996,0.033312414
A011,-0.58642776,0.033312414
A012,-0.519386065,0.033312414
A013,-0.7317411899999999,0.033312414
A014,-0.4468664275,0.033312414
A015,-0.205625645,0.033312414
A016,-0.81863615,0.033312414
A017,0.08902858279999999,0.033312414
A018,-0.40357643,0.033312414
A019,-1.79179995,0.033312414
A020,-0.71634939,0.033312414
A021,-0.358308645,0.033312414
A022,-1.0748749025,0.033312414
A023,-0.4630446325,0.033312414
A024,-0.613885025,0.033312414
A025,-0.78392371,0.033312414
A026,-0.44692492,0.033312414
A027,-0.6633107874999999,0.033312414
A028,-0.375387465,0.033312414
A029,-0.2711795875,0.033312414
A030,-0.5535010375,0.033312414
A031,-0.5188883875,0.033312414
A032,-0.570662565,0.033312414
A033,-0.464278515,0.033312414
A034,-0.19353102975,0.033312414
A035,-0.6640841725,0.033312414
A036,-1.32406655,0.033312414
A037,-0.4376020625,0.033312414
A038,-0.33454772499999996,0.033312414
A039,-0.100697299,0.033312414
A040,-0.560711355,0.033312414
A041,-0.29055276625,0.033312414
A042,-0.8896894625,0.033312414
A043,-0.06662488999999999,0.033312414
A044,-1.1971005625,0.033312414
A045,-0.81302315,0.033312414
A046,-1.173376725,0.033312414
A047,-1.1130484475,0.033312414
A048,-0.484168175,0.033312414
A049,-0.32294445475,0.033312414
A050,-0.627010625,0.033312414
A051,-0.4079527525,0.033312414
A052,-0.71755411,0.033312414
A053,-1.0141234075,0.033312414
A054,-0.139742269,0.033312414
A055,-0.8124447475,0.033312414
A056,-0.8030216625,0.033312414
A057,-0.5488906525,0.033312414
A058,-0.6382162375,0.033312414
A059,-0.63340386,0.033312414
A060,-0.3904219575,0.033312414
A061,0.0324096775,0.033312414
A062,-0.6299947724999999,0.033312414
A063,-1.35235565,0.033312414
A064,-0.486685545,0.033312414
A065,-0.7442530700000001,0.033312414
A066,-0.8195049325,0.033312414
A067,-0.7903544849999999,0.033312414
A068,-0.182538331,0.033312414
A069,-0.847522715,0.033312414
A070,-0.74066433,0.033312414
A071,-0.7865272925,0.033312414
A072,-0.39583165924999997,0.033312414
A073,-0.86171152,0.033312414
A074,-0.57788421,0.033312414
A075,-0.62249475,0.033312414
A076,-0.9554576,0.033312414
A077,-0.5104503575,0.033312414
A078,-0.9966626875,0.033312414
A079,-0.5002159225,0.033312414
A080,-0.62087439,0.033312414
A081,-0.45164868999999996,0.033312414
A082,-0.55570178,0.033312414
A083,-0.36665053275000004,0.033312414
A084,-1.310810025,0.033312414
A085,-0.34456217749999996,0.033312414
A086,-0.44356013,0.033312414
A087,-0.29395377,0.033312414
A088,-0.3491737325,0.033312414
A089,-0.470749415,0.033312414
A090,-1.1520673750000001,0.033312414
A091,-0.5713774125,0.033312414
A092,-0.7307358500000001,0.033312414
A093,-0.890267905,0.033312414
A094,-0.94850675,0.033312414
A095,-0.6042295885,0.033312414
A096,-0.8385788000000001,0.033312414
A097,-1.0233028025,0.033312414
A098,-0.4229392625,0.033312414
A099,-0.1477213175,0.033312414
A100,-0.86168969,0.033312414
A101,-0.8820455625,0.033312414
A102,-0.650397205,0.033312414
A103,-0.6776779,0.033312414
A104,-0.34347152599999997,0.033312414
A105,-0.3732198375,0.033312414
A106,-0.399144375,0.033312414
A107,-1.0947545875,0.033312414
A108,-1.0069664624999999,0.033312414
A109,-1.1955821125,0.033312414
