test,statistic,p_value,result
Shapiro_Wilk_calibration_quality,0.9837958705247183,0.25922534971804334,NORMAL
Shapiro_Wilk_RAVLT_T,0.9880528545546419,0.5121125101394102,NORMAL
Shapiro_Wilk_BVMT_T,0.9356410652203374,0.00010555527332915988,NON_NORMAL
Shapiro_Wilk_RPM_T,0.8928177038278162,6.596346653958295e-07,NON_NORMAL
Shapiro_Wilk_RAVLT_Pct_Ret_T,0.9863064592454502,0.392699339769791,NORMAL
Shapiro_Wilk_BVMT_Pct_Ret_T,0.5326498110824646,2.6702694620955227e-16,NON_NORMAL
Shapiro_Wilk_age,0.9554371226547183,0.0019267067978955517,NON_NORMAL
Linearity_RAVLT_T_vs_calibration_quality,-0.08922521999959096,0.3773460338732268,NON_SIGNIFICANT
Linearity_BVMT_T_vs_calibration_quality,-0.07018961651019916,0.48772728552536027,NON_SIGNIFICANT
Linearity_RPM_T_vs_calibration_quality,-0.19916333272285858,0.04697309394071174,SIGNIFICANT
Linearity_RAVLT_Pct_Ret_T_vs_calibration_quality,-0.03292914921112463,0.7449996616858119,NON_SIGNIFICANT
Linearity_BVMT_Pct_Ret_T_vs_calibration_quality,-0.1650101167254579,0.100875793594255,NON_SIGNIFICANT
