model,predictor,beta,se,t_stat,p_uncorrected,ci_lower,ci_upper,p_bonferroni,p_fdr
Demographics,intercept,0.030582554304560725,0.014216538748143912,2.1511955087206815,0.033970671783718535,0.0023629479252222398,0.05880216068389921,0.44161873318834094,0.22080936659417047
Demographics,age_c,0.00011143754685432312,0.0002484216189710318,0.4485823227298013,0.6547438784406694,-0.00038167546944831133,0.0006045505631569576,1.0,0.9457411577476336
Demographics,sex,-0.005377195043543451,0.007858827873599055,-0.6842235419874253,0.4954824543425722,-0.020976845079660245,0.010222454992573344,1.0,0.8051589883066798
Demographics,education,0.002098592493197101,0.002199179901521942,0.9542614006906713,0.3423480418613677,-0.002266745109558283,0.006463930095952485,1.0,0.8051589883066798
Full_Model,intercept,0.030153662944608854,0.013611082357727015,2.215375835081228,0.029229609659437113,0.003116919902309622,0.05719040598690808,0.3799849255726825,0.22080936659417047
Full_Model,age_c,5.710346720587406e-06,0.000139320621094803,0.04098708917398313,0.9673959819004756,-0.0002710329521615417,0.0002824536456027166,1.0,0.9673959819004756
Full_Model,sex,-0.002783021898840281,0.00378049817552577,-0.7361521602779862,0.46353151820961835,-0.010292517107025934,0.004726473309345372,1.0,0.8051589883066798
Full_Model,education,0.0010890950979258324,0.0010506727536952704,1.0365692782033498,0.30268327775671616,-0.0009979372567845515,0.003176127452636216,1.0,0.8051589883066798
Full_Model,ravlt_c,5.710346720711357e-06,0.00013932062109480147,0.040987089174873266,0.9673959818997679,-0.00027103295216141475,0.00028245364560283747,1.0,0.9673959819004756
Full_Model,bvmt_c,-0.002783021898840213,0.0037804981755257634,-0.7361521602779695,0.4635315182096289,-0.010292517107025853,0.004726473309345428,1.0,0.8051589883066798
Full_Model,rpm_c,0.0010890950979258584,0.0010506727536952589,1.036569278203386,0.30268327775669945,-0.000997937256784503,0.0031761274526362197,1.0,0.8051589883066798
Full_Model,ravlt_pct_ret_c,-0.00013147438763366824,0.00044027115290101444,-0.2986213990341253,0.765909777673735,-0.0010060189475057891,0.0007430701722384527,1.0,0.9673959819004756
Full_Model,bvmt_pct_ret_c,0.00018923272075937477,0.0009166995965093686,0.20642827975482897,0.8369175450821262,-0.0016316784152115994,0.002010143856730349,1.0,0.9673959819004756
