UID,theta_all,confidence_theta,education,rpm,age
A010,0.97076143875,-0.49896600999999996,6,11,22
A011,0.07180207999999996,-0.58642776,2,12,21
A012,0.3549183125,-0.519386065,4,12,21
A013,-0.16506315,-0.7317411899999999,6,10,22
A014,0.6169010075,-0.4468664275,6,9,22
A015,1.559498015,-0.205625645,6,12,23
A016,0.11325782150000002,-0.81863615,6,12,21
A017,0.3353329775,0.08902858279999999,8,10,24
A018,-0.10452744725000002,-0.40357643,6,11,23
A019,-1.13018943,-1.79179995,5,8,20
A020,-0.91300866125,-0.71634939,6,12,26
A021,0.79059709,-0.358308645,6,12,28
A022,0.1149351101,-1.0748749025,8,9,28
A023,0.13347564975,-0.4630446325,6,7,26
A024,-0.04513158249999999,-0.613885025,8,12,29
A025,0.346842675,-0.78392371,6,9,26
A026,0.406870533,-0.44692492,8,10,29
A027,-0.05787567499999999,-0.6633107874999999,6,11,28
A028,0.12858346,-0.375387465,7,9,26
A029,1.023111325,-0.2711795875,6,10,25
A030,0.435349075,-0.5535010375,8,11,31
A031,0.4143596645,-0.5188883875,6,11,32
A032,0.7238456824999999,-0.570662565,6,11,33
A033,0.375180925,-0.464278515,6,12,32
A034,0.609261065,-0.19353102975,6,12,33
A035,-0.20200146749999998,-0.6640841725,7,12,34
A036,-0.05789503249999997,-1.32406655,6,12,30
A037,0.6399919475,-0.4376020625,7,12,31
A038,0.496686178,-0.33454772499999996,4,11,32
A039,1.19202671,-0.100697299,8,12,31
A040,-0.9150132424999999,-0.560711355,8,11,38
A041,0.109736675,-0.29055276625,6,10,35
A042,-0.8263051475000001,-0.8896894625,6,8,38
A043,0.4509235725,-0.06662488999999999,6,10,38
A044,-0.891856265,-1.1971005625,6,10,38
A045,-1.07199485,-0.81302315,8,8,37
A046,-1.212762325,-1.173376725,6,7,38
A047,-1.026090325,-1.1130484475,6,4,36
A048,0.31380509999999995,-0.484168175,8,12,38
A049,0.4953288965,-0.32294445475,5,12,35
A050,-0.79420681,-0.627010625,9,10,41
A051,-0.03917359749999999,-0.4079527525,1,11,41
A052,0.063437571,-0.71755411,9,11,43
A053,0.45830460749999996,-1.0141234075,6,10,44
A054,1.0196071075,-0.139742269,7,10,43
A055,0.10256029849999998,-0.8124447475,6,6,44
A056,-0.07194886249999999,-0.8030216625,6,9,42
A057,-0.51205133,-0.5488906525,6,11,40
A058,-0.252483834,-0.6382162375,6,11,42
A059,0.98987943,-0.63340386,6,12,43
A060,0.235626169,-0.3904219575,4,8,48
A061,0.86492765,0.0324096775,5,6,47
A062,0.09019198499999995,-0.6299947724999999,8,12,48
A063,0.293277165,-1.35235565,8,11,45
A064,0.30928356749999997,-0.486685545,6,12,47
A065,-1.9536738750000002,-0.7442530700000001,6,7,47
A066,-0.5499262325000001,-0.8195049325,8,10,47
A067,-0.82512955,-0.7903544849999999,6,11,48
A068,0.37390792500000003,-0.182538331,8,12,49
A069,-1.1793972825,-0.847522715,5,7,46
A070,-0.21069506424999995,-0.74066433,5,10,52
A071,0.1962569325,-0.7865272925,7,12,50
A072,0.07787222499999996,-0.39583165924999997,7,12,50
A073,0.33634695950000004,-0.86171152,6,9,51
A074,-0.2549865725,-0.57788421,6,11,53
A075,-0.291115765,-0.62249475,6,10,53
A076,-1.220826245,-0.9554576,1,6,54
A077,0.48626458250000004,-0.5104503575,6,11,52
A078,-0.49878498,-0.9966626875,7,8,50
A079,-0.4405461125,-0.5002159225,5,11,50
A080,0.05354647499999998,-0.62087439,8,8,56
A081,0.3615143925,-0.45164868999999996,5,6,55
A082,0.4909304,-0.55570178,9,10,58
A083,0.7502973374999999,-0.36665053275000004,9,11,58
A084,-0.0109190895,-1.310810025,5,9,59
A085,0.33935422249999997,-0.34456217749999996,2,10,58
A086,-0.43033625999999997,-0.44356013,5,12,58
A087,0.5806797050000001,-0.29395377,6,9,59
A088,1.55795242,-0.3491737325,4,9,56
A089,0.865113,-0.470749415,3,12,56
A090,-0.752913545,-1.1520673750000001,4,7,61
A091,-0.373098455,-0.5713774125,8,10,63
A092,-0.7275689125,-0.7307358500000001,6,6,60
A093,0.48446266,-0.890267905,6,11,64
A094,-0.93752057,-0.94850675,5,7,60
A095,-0.013461817500000028,-0.6042295885,6,10,61
A096,-1.325941315,-0.8385788000000001,8,8,60
A097,0.142418974,-1.0233028025,6,9,64
A098,0.35445072499999997,-0.4229392625,7,11,60
A099,0.7514367825,-0.1477213175,5,11,63
A100,0.2622341625,-0.86168969,8,7,66
A101,-1.1029622374999999,-0.8820455625,2,10,69
A102,0.01133648850000002,-0.650397205,5,11,68
A103,-0.4859907875,-0.6776779,6,7,68
A104,0.05959064250000001,-0.34347152599999997,6,9,66
A105,0.28618012000000004,-0.3732198375,8,10,68
A106,0.6701173435000001,-0.399144375,8,12,66
A107,-1.15600219,-1.0947545875,5,8,70
A108,-0.7731268499999999,-1.0069664624999999,4,6,69
A109,-0.720264555,-1.1955821125,8,8,68
