uid,theta_free_recall,theta_recognition
A010,0.554049634,0.729078025
A011,0.20222367249999995,0.1424668025
A012,0.17500367999999997,0.08704279999999998
A013,-0.3174417,-0.22253646500000002
A014,0.29585436249999997,0.352329025
A015,1.2505922274999999,1.34465797
A016,0.5539736399999999,0.5254173025000001
A017,0.5455460125,0.597226025
A018,0.13864442075,0.1753272925
A019,-0.6832345875,-0.8133783
A020,-0.7452180310000001,-0.67730777175
A021,0.7210150675,0.555279165
A022,0.4704250175,0.5087431675
A023,0.10803524874999999,0.12001027575
A024,-0.05757601764999998,-0.100757124
A025,0.48048954499999996,0.3358855125
A026,0.39372707375,0.32641969249999997
A027,-0.1812103625,0.13713922125
A028,0.28027273350000004,0.0654162975
A029,1.1252086125,1.1622537499999999
A030,0.5055635224999999,0.71663706
A031,0.0792886025,0.25241227
A032,0.6587828325,0.494784035
A033,0.18771178250000004,0.1821050575
A034,0.7900611025000001,1.00387415675
A035,-0.332765725,-0.32466241
A036,-0.297961925,-0.2388508
A037,0.5853731325,0.6241316225
A038,0.5094793464999999,0.5453409465
A039,1.16869045,1.267663605
A040,-0.839492015,-0.9785673075
A041,0.20570132350000003,0.09971810999999998
A042,-0.84650285,-0.9513145624999999
A043,0.3422237445,0.338755625
A044,-0.89870732,-0.98255685
A045,-0.7197047775,-0.84552735
A046,-1.1691676375,-1.39027405
A047,-0.72880571,-0.8298923149999999
A048,0.4763606825,0.3221427125
A049,0.60122723,0.492970975
A050,-0.41454419,-0.6642089404999999
A051,0.05416171250000003,0.11899004749999999
A052,0.31284620500000004,0.2754202425
A053,0.167382475,0.1440856875
A054,0.68185948,0.8145129175
A055,-0.426527325,-0.33795647
A056,-0.15323495499999998,-0.11849618650000002
A057,-0.671004937,-0.7863072175000001
A058,-0.17691175314999996,-0.1600315465
A059,1.0540936575,1.2133000775
A060,0.31314581125,0.27818482499999997
A061,0.9323918725,0.965054225
A062,-0.11945589499999998,-0.11687973750000002
A063,0.13373353064999993,0.2575359535
A064,0.3126001675,0.49270447500000003
A065,-1.33068144525,-1.7330772875
A066,-0.3931823725,-0.49175725125
A067,-0.9232703824999999,-0.8756185249999999
A068,0.29173403249999996,0.38861138407500007
A069,-0.941063235,-0.9712489325
A070,-0.41206129825000004,-0.2283237495
A071,0.261437025,0.11500562124999998
A072,0.4695065525,0.41328377499999996
A073,0.7875095025,0.824890339
A074,-0.023862139999999976,-0.09118265050000002
A075,-0.3326542725,-0.29912905500000003
A076,-1.0952408375,-1.1399372424999998
A077,0.20708366,0.09644873250000002
A078,-0.6363346265000001,-0.6331212025
A079,-0.30597057625,-0.35655256999999996
A080,0.10354215500000002,0.1326782275
A081,0.31969439749999995,0.2085604325
A082,0.38259553999999996,0.39019944749999996
A083,0.76048046625,0.764093685
A084,-0.173836915,0.16757192675
A085,0.09286560625000001,-0.08068557125000003
A086,-0.4035021725,-0.24230902750000002
A087,0.7811800475,0.6680230425
A088,1.733542025,1.8440729500000002
A089,0.5937588125,0.66546170325
A090,-0.35701296,-0.5797269995000001
A091,-0.3329253635,-0.23238059874999997
A092,-0.8200598674999999,-0.8297681775000001
A093,0.643234925,0.6357189775
A094,-0.7430637275,-0.9230115481250001
A095,0.31778346,0.42835062
A096,-1.097631305,-1.26631366
A097,0.060319902499999994,-0.1498157325
A098,0.2962825250000001,0.24039163650000003
A099,0.85012105,0.8996860375
A100,0.59073483,0.6034057875000001
A101,-0.91125265,-0.8425217825
A102,0.09799402249999999,0.12875076250000003
A103,-0.22488647499999995,-0.219839225
A104,0.12289586250000001,0.13409242500000002
A105,0.1767069775,0.15162019125
A106,0.5759672125,0.52073242125
A107,-0.8855317175,-1.132382225
A108,-0.77697339,-0.7276807625
A109,-0.7426673855,-0.7889798775
