UID,theta_what,se_what
A010,0.7559712975,0.4595310607329531
A011,0.197499705,0.41814377062288377
A012,0.28557254750000005,0.4188908454698353
A013,-0.0996692035,0.2117057181703623
A014,0.74598967,0.5372204935215513
A015,1.47161414,0.33093419449783756
A016,-0.09337775749999999,0.4676269773601231
A017,0.3815285075,0.3162994978590896
A018,-0.195357355,0.28122700900956926
A019,-0.8542806195000001,0.2879219097676544
A020,-0.8206314575,0.4988264257371232
A021,0.7504667199999999,0.16616307676803554
A022,0.007409930000000002,0.12497786823658527
A023,0.09103290249999998,0.23701479087088625
A024,-0.03312249874999999,0.162497556600914
A025,0.189649375,0.7056695271085613
A026,0.2961444006625,0.21011744416311243
A027,-0.12884181,0.42609048978750247
A028,0.22139514999999999,0.4273099252972052
A029,0.9213593250000001,0.3274447277632984
A030,0.24558417847500003,0.23290424635424287
A031,0.37680075249999995,0.587730102990938
A032,0.758142725,0.30588829567905
A033,0.37015001,0.20408393628902322
A034,0.48516567,0.40566051987448865
A035,-0.10476066425,0.3692788712921956
A036,0.017222680500000004,0.34406582469847563
A037,0.585846746,0.3629774172441914
A038,0.4923451795,0.2848194953254835
A039,1.0299392925,0.4260246355266163
A040,-0.899793683,0.44021654205509964
A041,0.08053174874999999,0.4564315055405947
A042,-0.576955077,0.24851789877593752
A043,0.39494527975,0.16537280646891508
A044,-0.7715998625,0.30357498309999903
A045,-0.9667633274999999,0.1871077175462059
A046,-1.11812449,0.2216223216930802
A047,-0.9367785799999999,0.27610084894445497
A048,0.312800065,0.3330739725228588
A049,0.40594605250000004,0.5642635000378952
A050,-0.8558748749999999,0.15319689263285433
A051,-0.1630602875,0.4771065455980324
A052,0.2576208125,0.3172120320250665
A053,0.368248605,0.3388536557667457
A054,0.8947861675,0.14786631434096215
A055,0.14997135325,0.20835388285024314
A056,-0.08393786499999997,0.36822337354048573
A057,-0.3067310125,0.2606448998256776
A058,-0.2719533075,0.39839800562168926
A059,1.0114442625,0.24819470768861368
A060,0.34874225875,0.30617542956320926
A061,0.8467748125,0.6297041120196831
A062,0.078300275,0.4766146306364353
A063,0.2605916275,0.3033481327176039
A064,0.503797009,0.23180507443393475
A065,-1.94928755,0.2734948988895695
A066,-0.44128004499999995,0.40416635624432923
A067,-0.7244210325,0.5409551129035589
A068,0.394560105,0.41710754244272397
A069,-0.8791684799999999,0.3062958089817295
A070,-0.06834133,0.2631429076160385
A071,0.0700237725,0.4397554365910999
A072,-0.09781446499999999,0.44725711799803053
A073,0.122970805,0.39253120757426424
A074,-0.5581603375,0.5089996441801112
A075,-0.3986804465,0.3472855804371641
A076,-1.18215652,0.4478555680492883
A077,0.498825286,0.30848665765873295
A078,-0.32265749850000003,0.22339405101627677
A079,-0.5118734475,0.2371135747193489
A080,0.10170053000000001,0.31454583404004766
A081,0.231875545,0.3088656464744146
A082,0.52830120875,0.21309433355420015
A083,0.4622176,0.47383383906397686
A084,-0.2665534975,0.2763227996250525
A085,0.22755188250000002,0.44908873851250586
A086,-0.4872433975,0.3944423186078409
A087,0.5968231325,0.29339569773324153
A088,1.3717229775000002,0.4365709961550802
A089,0.6689538675000001,0.30934115118246686
A090,-0.836708325,0.5139877929566006
A091,-0.2245167425,0.35296633565326074
A092,-0.7566670525,0.2892763414706882
A093,0.5506377825,0.12822578825822653
A094,-0.7701877375,0.3239412687118694
A095,0.0709018625,0.4992265306090749
A096,-1.488379525,0.3140274050872587
A097,0.136843735,0.210591881209894
A098,0.47438697500000004,0.3270492755665022
A099,0.29579097125,0.39331722138528474
A100,0.356873705,0.19711655951255552
A101,-1.2126279850000001,0.10460908969508444
A102,0.028971365749999985,0.2787406700414123
A103,-0.45776419999999995,0.7207712619699055
A104,0.08541996999999996,0.7585481091729667
A105,0.25559625825,0.1747106814629566
A106,0.8144010749999999,0.31952922303481524
A107,-1.101252275,0.2187717273087116
A108,-0.9493911899999999,0.16535876845308534
A109,-0.6921477,0.25013499594993616
