UID,Education,VR_Experience,Typical_Sleep,Age
A010,6,4,8.0,22
A011,2,2,6.0,21
A012,4,2,7.0,21
A013,6,2,7.0,22
A014,6,4,7.0,22
A015,6,2,5.0,23
A016,6,2,7.0,21
A017,8,1,8.0,24
A018,6,2,6.0,23
A019,5,1,6.0,20
A020,6,1,9.0,26
A021,6,1,8.0,28
A022,8,0,6.0,28
A023,6,2,7.0,26
A024,8,4,7.0,29
A025,6,2,7.0,26
A026,8,1,6.0,29
A027,6,1,8.0,28
A028,7,1,7.0,26
A029,6,1,7.0,25
A030,8,1,7.0,31
A031,6,2,7.0,32
A032,6,1,7.0,33
A033,6,2,6.0,32
A034,6,1,7.0,33
A035,7,2,8.0,34
A036,6,2,8.0,30
A037,7,2,7.0,31
A038,4,1,8.0,32
A039,8,1,7.5,31
A040,8,1,7.0,38
A041,6,0,8.0,35
A042,6,2,5.0,38
A043,6,2,7.5,38
A044,6,4,7.0,38
A045,8,1,8.0,37
A046,6,1,8.0,38
A047,6,0,7.0,36
A048,8,2,8.0,38
A049,5,3,7.0,35
A050,9,4,7.0,41
A051,1,2,8.0,41
A052,9,0,9.0,43
A053,6,0,9.0,44
A054,7,0,8.0,43
A055,6,1,7.5,44
A056,6,0,7.0,42
A057,6,0,10.0,40
A058,6,0,8.0,42
A059,6,1,7.0,43
A060,4,0,8.0,48
A061,5,1,6.0,47
A062,8,2,7.0,48
A063,8,1,9.0,45
A064,6,1,5.0,47
A065,6,0,8.0,47
A066,8,1,7.0,47
A067,6,1,5.5,48
A068,8,1,6.0,49
A069,5,0,6.0,46
A070,5,1,6.5,52
A071,7,1,7.0,50
A072,7,0,6.0,50
A073,6,0,4.0,51
A074,6,1,7.0,53
A075,6,0,8.0,53
A076,1,0,8.0,54
A077,6,0,7.0,52
A078,7,0,7.0,50
A079,5,1,5.5,50
A080,8,2,7.0,56
A081,5,3,7.0,55
A082,9,3,7.0,58
A083,9,2,5.5,58
A084,5,3,7.0,59
A085,2,0,7.0,58
A086,5,0,7.0,58
A087,6,1,5.5,59
A088,4,1,7.0,56
A089,3,0,8.0,56
A090,4,1,6.0,61
A091,8,1,8.0,63
A092,6,1,6.5,60
A093,6,0,7.0,64
A094,5,0,6.0,60
A095,6,3,6.0,61
A096,8,0,7.0,60
A097,6,0,8.0,64
A098,7,2,6.5,60
A099,5,2,7.0,63
A100,8,0,6.5,66
A101,2,1,7.0,69
A102,5,1,8.0,68
A103,6,2,9.0,68
A104,6,0,6.0,66
A105,8,0,7.0,68
A106,8,1,7.5,66
A107,5,0,7.5,70
A108,4,0,7.0,69
A109,8,1,7.0,68
