fold,train_r2,test_r2,n_train,n_test
1,0.31772758500016574,-0.06096194181113446,90,10
2,0.34490711060907187,-0.8062248143699655,90,10
3,0.2982490898812049,0.17711389800216237,90,10
4,0.24958947332619918,0.5075900674259901,90,10
5,0.3140414131170485,-0.04191748826969288,90,10
6,0.3466166519971283,-0.20788549458614503,90,10
7,0.27759330719433695,0.5330631157702265,90,10
8,0.317048973722321,-0.1379682620645588,90,10
9,0.2824768346408494,0.4312249594312645,90,10
10,0.34132985878207445,-0.5784688356417522,90,10
