parameter,estimate,std_error,z_value,p_uncorrected,p_bonferroni
Intercept,0.9159439730331232,0.018885181138112134,48.500671840772505,0.0,
Sleep_Hours_WP,-0.008661732949102581,0.009241659405410956,-0.937248665973469,0.3486306618255268,0.6972613236510536
Sleep_Quality_WP,0.040208714304411614,0.024211173970719802,1.6607502945969788,0.09676360768738114,0.19352721537476228
Sleep_Hours_PM_z,0.001112406303589657,0.011788490288258907,0.09436376299156735,0.9248202002650645,
Sleep_Quality_PM_z,0.009194393436697753,0.012014784537664693,0.7652566226114665,0.444118748494883,
age_z,-0.004801702519324699,0.012855938412941569,-0.37350074067646544,0.7087757941713444,
RAVLT_T_z,0.02453468669992189,0.011621339037724145,2.1111755384022097,0.03475722656310932,
BVMT_T_z,0.000284656500032517,0.014700326138899156,0.01936395814234865,0.9845507622499872,
RPM_T_z,0.024279218418282372,0.01258067569815364,1.9298819078410572,0.05362147161282364,
RAVLT_Pct_Ret_T_z,0.00667018457890701,0.011297897666804675,0.5903916618491999,0.5549280994067394,
BVMT_Pct_Ret_T_z,0.037478671786880524,0.011072778276021551,3.3847577231851345,0.0007124110492099575,
TEST,-0.04244901778467765,0.006316550521223838,-6.7202846936864375,1.813698457907732e-11,
Group Var,0.30728790540187156,0.0944303076762363,3.2541237338274773,0.0011374272632882344,
