variable1,variable2,correlation,p_value,n_pairs
theta_all,dass_dep,0.03776747554537138,0.7134135033637508,97
theta_all,dass_anx,0.2090338490694496,0.03989689481579261,97
theta_all,dass_str,0.17051387554305547,0.09494924827334288,97
theta_all,age,-0.18533925753849623,0.06914099137816627,97
theta_all,nart_score,0.09145810189263458,0.3729560455404016,97
dass_dep,dass_anx,0.417468143084505,2.097723817158923e-05,97
dass_dep,dass_str,0.6430223329211684,1.2333461995091707e-12,97
dass_dep,age,-0.14128297132911152,0.16747211604530396,97
dass_dep,nart_score,0.02430584534136208,0.8131871507490314,97
dass_anx,dass_str,0.7150607368163826,1.9161179861758262e-16,97
dass_anx,age,-0.30306975087800525,0.002548675646496389,97
dass_anx,nart_score,-0.08799495934218289,0.3914011702050061,97
dass_str,age,-0.26071735218310826,0.009901461238817686,97
dass_str,nart_score,0.01488552065029494,0.8849376043243596,97
age,nart_score,0.31705624071150573,0.001554997483902515,97
