UID,theta_all,rehearsal_frequency,mnemonic_use,age,education_numeric,vr_exposure,sleep_hours
A010,0.7356485,0,0,22,11,4,8.0
A011,-0.48618072,0,0,21,11,2,6.0
A012,-0.57650775,0,0,21,11,2,7.0
A013,-0.50066453,0,0,22,11,2,7.0
A014,-0.60555935,0,0,22,11,4,7.0
A015,0.74841046,0,0,23,11,2,5.0
A016,-1.1086501,0,0,21,11,2,7.0
A017,0.04002261,0,0,24,11,1,8.0
A018,0.015628511,0,0,23,11,2,6.0
A019,-1.652823,0,0,20,11,1,6.0
A020,-2.2843106,0,0,26,11,1,9.0
A021,0.77024406,0,0,28,11,1,8.0
A022,0.0056279004,0,0,28,11,0,6.0
A023,0.004668119,0,0,26,11,2,7.0
A024,-0.7700928,0,0,29,11,4,7.0
A025,-1.1388493,0,0,26,11,2,7.0
A026,-0.26765063,0,0,29,11,1,6.0
A027,-0.8390413,0,0,28,11,1,8.0
A028,-0.7637951,0,0,26,11,1,7.0
A029,0.7683035,0,0,25,11,1,7.0
A030,0.33196774,0,0,31,11,1,7.0
A031,-0.57443035,0,0,32,11,2,7.0
A032,1.5530372,0,0,33,11,1,7.0
A033,-0.40873924,0,0,32,11,2,6.0
A034,-0.1552254,0,0,33,11,1,7.0
A035,-0.98961914,0,0,34,11,2,8.0
A036,-1.0100961,0,0,30,11,2,8.0
A037,-0.16601759,0,0,31,11,2,7.0
A038,-0.017467948,0,0,32,11,1,8.0
A039,0.72307914,2,0,31,11,1,7.5
A040,-1.6119773,0,0,38,11,1,7.0
A041,0.1290578,0,0,35,11,0,8.0
A042,-1.260689,0,0,38,11,2,5.0
A043,-0.36708274,0,0,38,11,2,7.5
A044,-1.7971689,0,0,38,11,4,7.0
A045,-1.2476392,0,0,37,11,1,8.0
A046,-1.154563,0,0,38,11,1,8.0
A047,-1.600209,0,0,36,11,0,7.0
A048,0.09614354,0,0,38,11,2,8.0
A049,0.034191336,0,0,35,11,3,7.0
A050,-1.1381246,0,0,41,11,4,7.0
A051,-0.72000563,0,0,41,11,2,8.0
A052,-0.8312764,0,0,43,11,0,9.0
A053,-0.13549207,0,0,44,11,0,9.0
A054,1.2362738,0,0,43,11,0,8.0
A055,-0.62007034,0,0,44,11,1,7.5
A056,-0.9539059,0,0,42,11,0,7.0
A057,-1.0877718,0,0,40,11,0,10.0
A058,-1.0669552,0,0,42,11,0,8.0
A059,0.38432297,0,0,43,11,1,7.0
A060,0.19280487,0,0,48,11,0,8.0
A061,-0.2929151,0,0,47,11,1,6.0
A062,-0.7168849,0,0,48,11,2,7.0
A063,-0.58241045,0,0,45,11,1,9.0
A064,-0.33321425,0,0,47,11,1,5.0
A065,-2.3754525,0,0,47,11,0,8.0
A066,-1.2830758,0,0,47,11,1,7.0
A067,-1.1757759,0,0,48,11,1,5.5
A068,-0.3906647,0,0,49,11,1,6.0
A069,-1.7110198,0,0,46,11,0,6.0
A070,-1.0469787,0,0,52,11,1,6.5
A071,0.1462163,0,1,50,11,1,7.0
A072,-0.13873519,0,0,50,11,0,6.0
A073,0.9759681,0,0,51,11,0,4.0
A074,-1.1428367,0,0,53,11,1,7.0
A075,-0.5980336,0,0,53,11,0,8.0
A076,-2.5163941,0,0,54,11,0,8.0
A077,0.58986604,0,0,52,11,0,7.0
A078,-1.0697036,0,0,50,11,0,7.0
A079,-0.9119565,0,0,50,11,1,5.5
A080,-0.8033879,0,0,56,11,2,7.0
A081,0.18450806,0,1,55,11,3,7.0
A082,-0.08527875,0,0,58,11,3,7.0
A083,-0.03377411,0,0,58,11,2,5.5
A084,-0.024996497,0,0,59,11,3,7.0
A085,-0.5059031,0,0,58,11,0,7.0
A086,-1.1456217,0,0,58,11,0,7.0
A087,0.27864328,0,0,59,11,1,5.5
A088,1.1879628,0,0,56,11,1,7.0
A089,0.3647498,0,0,56,11,0,8.0
A090,-1.1440647,0,0,61,11,1,6.0
A091,-0.80276793,0,0,63,11,1,8.0
A092,-1.3833519,0,0,60,11,1,6.5
A093,0.5149613,0,0,64,11,0,7.0
A094,-1.1788263,0,0,60,11,0,6.0
A095,-0.7580661,0,0,61,11,3,6.0
A096,-1.4557325,0,0,60,11,0,7.0
A097,0.086306766,0,0,64,11,0,8.0
A098,-0.6924288,0,0,60,11,2,6.5
A099,0.8498486,0,0,63,11,2,7.0
A100,0.06164612,0,0,66,11,0,6.5
A101,-1.1640573,0,0,69,11,1,7.0
A102,-0.5023084,0,0,68,11,1,8.0
A103,-0.96813315,0,0,68,11,2,9.0
A104,-1.7777252,0,0,66,11,0,6.0
A105,0.29649377,0,0,68,11,0,7.0
A106,1.0106606,0,0,66,11,1,7.5
A107,-1.2497748,0,0,70,11,0,7.5
A108,-1.1333818,0,0,69,11,0,7.0
A109,-1.2962439,0,0,68,11,1,7.0
