UID,TEST,Memory_Score
A010,1,1.0
A010,2,1.0
A010,3,1.0
A010,4,1.0
A011,1,1.0
A011,2,0.8571428571428571
A011,3,0.7142857142857143
A011,4,0.7142857142857143
A012,1,0.8571428571428571
A012,2,0.7142857142857143
A012,3,1.0
A012,4,1.0
A013,1,0.8571428571428571
A013,2,0.7142857142857143
A013,3,0.7142857142857143
A013,4,0.8571428571428571
A014,1,1.0
A014,2,1.0
A014,3,1.0
A014,4,0.7142857142857143
A015,1,1.0
A015,2,1.0
A015,3,1.0
A015,4,1.0
A016,1,0.8571428571428571
A016,2,0.7142857142857143
A016,3,0.8571428571428571
A016,4,0.7142857142857143
A017,1,0.7857142857142857
A017,2,1.0
A017,3,0.8571428571428571
A017,4,0.7142857142857143
A018,1,0.8571428571428571
A018,2,0.5714285714285714
A018,3,0.5714285714285714
A018,4,0.7142857142857143
A019,1,1.0
A019,2,0.5714285714285714
A019,3,0.8571428571428571
A019,4,0.8571428571428571
A020,1,0.8571428571428571
A020,2,0.7142857142857143
A020,3,0.8571428571428571
A020,4,0.42857142857142855
A021,1,1.0
A021,2,1.0
A021,3,1.0
A021,4,0.8571428571428571
A022,1,0.7142857142857143
A022,2,0.5714285714285714
A022,3,0.5714285714285714
A022,4,0.7142857142857143
A023,1,1.0
A023,2,0.7142857142857143
A023,3,1.0
A023,4,0.8571428571428571
A024,1,0.8571428571428571
A024,2,0.8571428571428571
A024,3,1.0
A024,4,0.8571428571428571
A025,1,0.8571428571428571
A025,2,1.0
A025,3,0.8571428571428571
A025,4,0.2857142857142857
A026,1,0.8571428571428571
A026,2,0.7142857142857143
A026,3,0.8571428571428571
A026,4,0.8571428571428571
A027,1,0.8571428571428571
A027,2,1.0
A027,3,0.7142857142857143
A027,4,0.42857142857142855
A028,1,1.0
A028,2,1.0
A028,3,0.5714285714285714
A028,4,0.8571428571428571
A029,1,0.5714285714285714
A029,2,0.8571428571428571
A029,3,1.0
A029,4,1.0
A030,1,0.8571428571428571
A030,2,1.0
A030,3,0.5714285714285714
A030,4,0.5714285714285714
A031,1,1.0
A031,2,1.0
A031,3,1.0
A031,4,1.0
A032,1,0.7857142857142857
A032,2,0.8571428571428571
A032,3,0.8571428571428571
A032,4,1.0
A033,1,1.0
A033,2,1.0
A033,3,1.0
A033,4,0.8571428571428571
A034,1,0.8571428571428571
A034,2,0.7142857142857143
A034,3,0.7142857142857143
A034,4,0.7142857142857143
A035,1,1.0
A035,2,0.8571428571428571
A035,3,0.8571428571428571
A035,4,0.5714285714285714
A036,1,0.8571428571428571
A036,2,0.8571428571428571
A036,3,0.9285714285714286
A036,4,0.8571428571428571
A037,1,1.0
A037,2,1.0
A037,3,0.7142857142857143
A037,4,0.7142857142857143
A038,1,1.0
A038,2,1.0
A038,3,0.8571428571428571
A038,4,0.7142857142857143
A039,1,1.0
A039,2,1.0
A039,3,0.7142857142857143
A039,4,0.8571428571428571
A040,1,0.7142857142857143
A040,2,0.8571428571428571
A040,3,0.42857142857142855
A040,4,0.5714285714285714
A041,1,1.0
A041,2,0.8571428571428571
A041,3,0.8571428571428571
A041,4,0.7142857142857143
A042,1,0.5714285714285714
A042,2,1.0
A042,3,0.8571428571428571
A042,4,0.5714285714285714
A043,1,0.8571428571428571
A043,2,0.8571428571428571
A043,3,0.8571428571428571
A043,4,0.8571428571428571
A044,1,1.0
A044,2,0.5714285714285714
A044,3,0.5714285714285714
A044,4,0.42857142857142855
A045,1,1.0
A045,2,0.8571428571428571
A045,3,0.8571428571428571
A045,4,0.5714285714285714
A046,1,0.5714285714285714
A046,2,0.7142857142857143
A046,3,0.7142857142857143
A046,4,0.7142857142857143
A047,1,0.8571428571428571
A047,2,0.5714285714285714
A047,3,0.7142857142857143
A047,4,0.2857142857142857
A048,1,1.0
A048,2,0.5714285714285714
A048,3,0.8571428571428571
A048,4,0.8571428571428571
A049,1,1.0
A049,2,0.8571428571428571
A049,3,1.0
A049,4,0.8571428571428571
A050,1,0.5714285714285714
A050,2,0.42857142857142855
A050,3,0.5714285714285714
A050,4,0.7142857142857143
A051,1,1.0
A051,2,0.7142857142857143
A051,3,0.5714285714285714
A051,4,0.42857142857142855
A052,1,1.0
A052,2,0.8571428571428571
A052,3,1.0
A052,4,1.0
A053,1,1.0
A053,2,1.0
A053,3,0.7142857142857143
A053,4,1.0
A054,1,0.8571428571428571
A054,2,0.8571428571428571
A054,3,1.0
A054,4,0.8571428571428571
A055,1,1.0
A055,2,0.8571428571428571
A055,3,1.0
A055,4,1.0
A056,1,0.8571428571428571
A056,2,1.0
A056,3,0.7142857142857143
A056,4,0.8571428571428571
A057,1,1.0
A057,2,0.8571428571428571
A057,3,0.8571428571428571
A057,4,1.0
A058,1,0.8571428571428571
A058,2,0.8571428571428571
