predictor,beta,se,ci_lower,ci_upper,t_stat,p_uncorrected,p_bonferroni,p_chapter,sr_squared,model
const,-0.0001954467756503939,0.00046018761986307306,-0.0011095529504926813,0.0007186593991918935,-0.42471106829981276,0.6720498148176386,,,0.0013139376003937077,Full
age_std,-0.00010132848618304993,0.0004606448203010946,-0.0010163428335304135,0.0008136858611643137,-0.2199709661704605,0.8263864776329067,,,0.0003529778432507643,Full
sex,0.0006514892521680042,0.0008595368884409579,-0.0010558751864111781,0.0023588536907471866,0.7579538015520033,0.45043705797126743,,,0.00416677376848353,Full
education_std,0.00022384742017786776,0.00039258295089505745,-0.0005559703846943203,0.0010036652250500558,0.5701913943728675,0.569953029808449,,,0.0023645039921105725,Full
RAVLT_T_std,-0.0007611155442440334,0.0004292527238991345,-0.0016137733484692367,9.154225998116974e-05,-1.7731175642414323,0.07955508807210702,0.39777544036053514,0.07955508807210702,0.022180515963326108,Full
BVMT_T_std,-0.0005291379568719034,0.0005258698104776946,-0.001573713734603244,0.0005154378208594372,-1.0062147442752798,0.31698037988509553,1.0,0.31698037988509553,0.007308422589829556,Full
RPM_T_std,-0.0015275473840866108,0.0004514831513087676,-0.0024243632014512707,-0.000630731566721951,-3.383398427291314,0.0010575027876208994,0.005287513938104497,0.0010575027876208994,0.07421546057936368,Full
RAVLT_Pct_Ret_T_std,-0.0007374053549801876,0.0004144485449290303,-0.0015606564763092513,8.584576634887615e-05,-1.7792446468993155,0.07853849140050376,0.39269245700251876,0.07853849140050376,0.022328909901839843,Full
BVMT_Pct_Ret_T_std,-0.00048594416427129815,0.0004000417429852062,-0.0012805779433509158,0.0003086896148083196,-1.2147336441569017,0.227610314709622,1.0,0.227610314709622,0.010598003158043457,Full
MODEL1_R2,0.04937278849570215,,,,,0.1803456031931629,,,,Demographics
MODEL2_R2,0.3358151305801761,,,,,6.3180194975819135e-06,,,,Full
DELTA_R2,0.28644234208447394,,,,7.84909573518482,3.5179615290870103e-06,,,,Incremental
