UID,ravlt-trial-1-score,ravlt-trial-2-score,ravlt-trial-3-score,ravlt-trial-4-score,ravlt-trial-5-score,ravlt-delayed-recall-score
A010,8,7,9,9,11,7
A011,8,12,15,14,14,11
A012,4,9,9,12,11,10
A013,4,8,12,13,14,10
A014,11,12,13,14,14,14
A015,7,10,9,12,10,13
A016,8,13,11,11,12,9
A017,8,5,9,10,9,9
A018,9,12,11,15,15,13
A019,6,8,10,14,14,12
A020,5,10,13,13,13,10
A021,7,12,14,15,15,15
A022,7,9,13,12,10,8
A023,8,12,11,14,14,15
A024,5,9,11,12,15,14
A025,7,10,12,14,14,12
A026,4,7,9,11,13,8
A027,6,13,15,13,14,13
A028,9,11,9,12,12,10
A029,9,13,11,14,15,12
A030,5,8,10,10,12,10
A031,6,9,12,12,11,9
A032,7,9,12,13,14,15
A033,7,11,13,11,11,12
A034,9,13,15,15,12,13
A035,6,8,11,13,15,10
A036,5,9,9,14,12,12
A037,7,11,14,14,14,15
A038,12,14,13,14,15,13
A039,9,11,12,11,14,11
A040,6,7,7,8,8,7
A041,6,8,7,5,12,9
A042,8,8,11,12,15,11
A043,6,10,12,9,11,12
A044,9,12,12,12,14,12
A045,4,6,8,9,10,9
A046,4,8,10,11,13,12
A047,5,7,7,9,9,5
A048,7,10,12,12,10,8
A049,7,7,9,9,11,9
A050,3,7,9,11,11,12
A051,7,5,10,11,11,12
A052,6,12,13,13,13,10
A053,7,10,12,12,12,10
A054,5,11,12,13,13,14
A055,7,9,10,12,14,12
A056,4,8,12,15,13,10
A057,6,8,12,13,14,11
A058,5,8,9,10,10,9
A059,5,9,13,12,15,14
A060,6,10,13,10,13,14
A061,9,12,14,15,15,15
A062,7,10,13,12,13,15
A063,11,11,12,13,13,14
A064,9,14,14,15,0,14
A065,6,11,13,12,14,8
A066,5,9,10,12,11,10
A067,7,10,13,15,15,13
A068,7,9,11,14,15,13
A069,5,8,11,14,14,13
A070,8,11,12,14,0,11
A071,8,12,14,11,14,10
A072,5,10,12,15,12,13
A073,8,8,11,13,12,13
A074,9,11,13,13,14,14
A075,6,8,5,10,13,9
A076,4,8,8,9,9,4
A077,11,15,0,0,0,12
A078,6,7,13,12,14,11
A079,5,12,14,14,15,14
A080,8,11,13,13,13,13
A081,6,10,9,10,11,8
A082,10,13,13,13,15,14
A083,10,10,12,12,13,11
A084,5,8,8,9,11,8
A085,6,7,11,11,11,9
A086,8,12,12,12,14,10
A087,7,9,11,12,14,11
A088,6,9,10,10,12,11
A089,6,9,10,13,11,9
A090,8,8,11,13,13,12
A091,6,8,11,13,14,8
A092,3,7,8,11,11,7
A093,5,11,10,12,12,9
A094,7,9,10,10,10,6
A095,7,11,9,10,11,12
A096,5,8,10,10,13,13
A097,4,6,6,2,10,8
A098,7,11,13,13,14,12
A099,5,6,7,12,14,13
A100,4,11,10,9,11,8
A101,4,6,7,6,5,5
A102,8,11,11,13,14,11
A103,8,14,15,0,0,10
A104,6,8,11,11,9,8
A105,7,12,9,11,11,11
A106,6,8,11,15,13,13
A107,6,9,9,10,12,8
A108,4,7,7,7,11,6
A109,8,9,10,10,13,8
