metric,statistic,value,ci_lower,ci_upper
RAVLT_Total,mean,-1.6542323066914832e-16,-0.23116059770764635,0.2210659794348225
RAVLT_Total,sd,1.2071871329903876,1.0414071305303458,1.369632465889234
RAVLT_Total,median,-0.013125709809659533,-0.2378447196425194,0.2839253323446159
RAVLT_Total,iqr,1.562773273399643,1.2600609315053177,2.0697343126597447
RAVLT_Total,min,-3.425102323972968,,
RAVLT_Total,max,3.003742442410589,,
RAVLT_Total,range,6.428844766383557,,
RAVLT_Total,skewness,0.028179497847016847,-0.42288282044436226,0.45412580272103376
RAVLT_Total,kurtosis,0.022149955687883693,-0.6642103016289338,0.7373753531411034
RAVLT_Total,shapiro_W,0.9942777313020179,,
RAVLT_Total,shapiro_p,0.9518808173101939,,
RAVLT_Pct_Ret,mean,-1.1746159600534156e-15,-0.23061925588939838,0.20863701438810212
RAVLT_Pct_Ret,sd,1.164976494221194,0.9967348245213643,1.31097428697772
RAVLT_Pct_Ret,median,0.21327673881970632,-0.13876550627161424,0.41215632947655023
RAVLT_Pct_Ret,iqr,1.474548030411226,1.1245915254366148,1.9290721781464988
RAVLT_Pct_Ret,min,-3.113814800334046,,
RAVLT_Pct_Ret,max,2.7671211610132422,,
RAVLT_Pct_Ret,range,5.880935961347288,,
RAVLT_Pct_Ret,skewness,-0.40984604482194675,-0.8383960154418256,-0.03654983866583584
RAVLT_Pct_Ret,kurtosis,-0.051665770983818415,-0.6238907875761389,0.7930497997967613
RAVLT_Pct_Ret,shapiro_W,0.9794661434886759,,
RAVLT_Pct_Ret,shapiro_p,0.12078614617953565,,
