UID,Discrepancy,Discrepancy_PctRet,Group,Group_RAVLT_Total,Group_RAVLT_Pct_Ret
A010,2.338310406868239,2.7671211610132422,VR-favored,VR-favored,VR-favored
A011,-1.2470364728808838,0.7734931617578757,RAVLT-favored,RAVLT-favored,Concordant
A012,1.3055042816488749,0.5143177348665035,VR-favored,VR-favored,Concordant
A013,-0.1772508382984908,0.551248816756884,Concordant,Concordant,Concordant
A014,-0.5561757068139154,-0.2292496530332185,Concordant,Concordant,Concordant
A015,2.738594911932821,0.6039689185510473,VR-favored,VR-favored,Concordant
A016,-0.2378447196425194,1.1138213589916328,Concordant,Concordant,Concordant
A017,1.7502465783168115,0.0322244117459242,VR-favored,VR-favored,Concordant
A018,-1.3903801568701948,-0.3943351566277615,RAVLT-favored,RAVLT-favored,Concordant
A019,-1.7286425430980357,-1.8524334498934123,RAVLT-favored,RAVLT-favored,RAVLT-favored
A020,-1.6431016792719713,-0.9326001021136552,RAVLT-favored,RAVLT-favored,Concordant
A021,-0.1798314764240753,0.0286393480450917,Concordant,Concordant,Concordant
A022,0.2384664914280094,1.6390209249803482,Concordant,Concordant,VR-favored
A023,-0.6816479447431323,-1.432370933101224,Concordant,Concordant,RAVLT-favored
A024,-0.1176419933075331,-0.7591639887227933,Concordant,Concordant,Concordant
A025,-0.1279484819421977,0.3405367578200737,Concordant,Concordant,Concordant
A026,1.501093698765389,2.072461527137021,VR-favored,VR-favored,VR-favored
A027,-1.2026603893438477,-0.325070618412944,Concordant,Concordant,Concordant
A028,0.0218199286362121,0.1782752163460776,Concordant,Concordant,Concordant
A029,0.2838408869620663,1.732900589746898,Concordant,Concordant,VR-favored
A030,1.4249209587468847,0.6337344119645134,VR-favored,VR-favored,Concordant
A031,0.8014815410943483,1.1688395190476233,Concordant,Concordant,VR-favored
A032,0.6687036105066773,-0.555840295097533,Concordant,Concordant,Concordant
A033,0.3879466311039753,-0.0654255653778481,Concordant,Concordant,Concordant
A034,-0.5675188362113255,0.6654366226541671,Concordant,Concordant,Concordant
A035,-0.4690041331241939,0.8199879109416681,Concordant,Concordant,Concordant
A036,0.2187736220437379,-0.2603829726862275,Concordant,Concordant,Concordant
A037,-0.0480713482555311,-0.6803391073020933,Concordant,Concordant,Concordant
A038,-1.208481261412487,0.4982951146991236,RAVLT-favored,RAVLT-favored,Concordant
A039,1.1269080662098627,2.080766201553274,Concordant,Concordant,VR-favored
A040,0.4861162185398047,-1.6543015811353317,Concordant,Concordant,RAVLT-favored
A041,1.7706662832371587,0.7165615094520782,VR-favored,VR-favored,Concordant
A042,-1.514371760731828,-0.5599391898968349,RAVLT-favored,RAVLT-favored,Concordant
A043,1.0926789449030552,-0.4756786703007217,Concordant,Concordant,Concordant
A044,-2.203972567513992,-1.498576869128661,RAVLT-favored,RAVLT-favored,RAVLT-favored
A045,0.1345882027660787,-2.057254881050927,Concordant,Concordant,RAVLT-favored
A046,-1.140508298385769,-2.4230671000482995,Concordant,Concordant,RAVLT-favored
A047,0.2027432925460934,0.3514761718648111,Concordant,Concordant,Concordant
A048,0.5337315446266883,1.585813130069491,Concordant,Concordant,VR-favored
A049,1.7508842965647893,0.8257451781008126,VR-favored,VR-favored,Concordant
A050,0.0732030705763202,-2.942088471456888,Concordant,Concordant,RAVLT-favored
A051,0.8388457447766258,-1.8210801093219933,Concordant,Concordant,RAVLT-favored
A052,-0.5487240004174323,0.5171432646754727,Concordant,Concordant,Concordant
A053,0.5113615241593532,0.6678168118692187,Concordant,Concordant,Concordant
A054,1.22627996076086,-0.154055550738045,VR-favored,VR-favored,Concordant
A055,0.1016382063968364,-0.0221527003985401,Concordant,Concordant,Concordant
A056,-0.1574579836931386,1.0130788310611938,Concordant,Concordant,Concordant
A057,-0.9293394969030082,-0.4493022788057148,Concordant,Concordant,Concordant
A058,0.7590515142725534,-0.8405154229868042,Concordant,Concordant,Concordant
A059,1.182142862534404,0.7775313257422029,Concordant,Concordant,Concordant
A060,0.299202963914386,-1.318043006207578,Concordant,Concordant,RAVLT-favored
A061,-0.3063823138507759,0.1389989692414504,Concordant,Concordant,Concordant
A062,-0.2720908894375154,-2.056680443789195,Concordant,Concordant,RAVLT-favored
A063,-0.5628436311480287,-1.2324477667777558,Concordant,Concordant,RAVLT-favored
A064,-1.368265306848635,-0.2329588625909507,RAVLT-favored,RAVLT-favored,Concordant
A065,-3.425102323972968,-1.1335807311976631,RAVLT-favored,RAVLT-favored,Concordant
A066,-0.2748415180746844,-0.8291176062339966,Concordant,Concordant,Concordant
A067,-2.223357710563863,-1.4642231689444891,RAVLT-favored,RAVLT-favored,RAVLT-favored
A068,0.0306909022793008,0.3160045266525565,Concordant,Concordant,Concordant
A069,-1.8017021293810704,-2.410865931757588,RAVLT-favored,RAVLT-favored,RAVLT-favored
A070,-1.3110982428920306,0.3540657038121402,RAVLT-favored,RAVLT-favored,Concordant
A071,-0.5884356968801878,1.0877057926674236,Concordant,Concordant,Concordant
A072,-0.171926979965767,-0.1235238142155706,Concordant,Concordant,Concordant
A073,0.4487445291357131,-0.6457921688219455,Concordant,Concordant,Concordant
A074,-1.3768584641615245,-1.5237533276269462,RAVLT-favored,RAVLT-favored,RAVLT-favored
A075,0.7016941464383295,0.513442244022597,Concordant,Concordant,Concordant
A076,-0.2048390786102485,0.8173735342573285,Concordant,Concordant,Concordant
A077,-1.5793200378269918,0.9358367287616064,RAVLT-favored,RAVLT-favored,Concordant
A078,-0.7911875323501686,-0.4296055435644048,Concordant,Concordant,Concordant
A079,-1.6523613063810705,-1.3462414673040937,RAVLT-favored,RAVLT-favored,RAVLT-favored
A080,-0.6818646781875342,-1.065670000276015,Concordant,Concordant,Concordant
A081,1.1968423444931,1.2448162356124373,Concordant,Concordant,VR-favored
A082,-0.7432060281995626,0.0367347281235326,Concordant,Concordant,Concordant
A083,0.4710662937221395,1.01422428665074,Concordant,Concordant,Concordant
A084,1.2361612955935808,0.6918590401552698,VR-favored,VR-favored,Concordant
A085,1.1639408304072798,0.5941673998778921,Concordant,Concordant,Concordant
A086,-1.4002921370692891,0.1573941231667929,RAVLT-favored,RAVLT-favored,Concordant
A087,0.6930535416010009,1.1730907596982942,Concordant,Concordant,VR-favored
A088,2.854755374748269,1.734210908410961,VR-favored,VR-favored,VR-favored
A089,1.5891765468689507,2.230111249633925,VR-favored,VR-favored,VR-favored
A090,-1.286950993546055,-1.7403231900278784,RAVLT-favored,RAVLT-favored,RAVLT-favored
A091,-0.6045789922223044,1.213121683306882,Concordant,Concordant,VR-favored
A092,0.2905965175660396,0.2455863544649243,Concordant,Concordant,Concordant
A093,0.9055644381976394,1.2729224161509145,Concordant,Concordant,VR-favored
A094,-0.7318530182530637,0.1809671231744882,Concordant,Concordant,Concordant
A095,0.403199466616828,-1.7829054702356728,Concordant,Concordant,RAVLT-favored
A096,-1.3085467265072095,-3.113814800334046,RAVLT-favored,RAVLT-favored,RAVLT-favored
A097,3.003742442410589,0.4253243486034141,VR-favored,VR-favored,Concordant
A098,-0.2351079330967626,0.3518325359770384,Concordant,Concordant,Concordant
A099,2.0126760246871886,0.4558703878184338,VR-favored,VR-favored,Concordant
A100,1.1678948288893845,1.097413490697192,Concordant,Concordant,Concordant
A101,1.154707553581529,-0.8412630655282771,Concordant,Concordant,Concordant
A102,-0.6260792057141529,0.327778929629259,Concordant,Concordant,Concordant
A103,-2.549020255620421,0.3983449988068558,RAVLT-favored,RAVLT-favored,Concordant
A104,0.8670271628164173,0.7965458246242249,Concordant,Concordant,Concordant
A105,0.6111715800750616,-0.1540071983276578,Concordant,Concordant,Concordant
A106,0.8258428533666705,0.7557907898053373,Concordant,Concordant,Concordant
A107,-1.0562357327323668,-0.5964302938472119,Concordant,Concordant,Concordant
A108,0.6967769283369301,0.7956931696384206,Concordant,Concordant,Concordant
A109,-0.8831108938911231,0.3989883103496863,Concordant,Concordant,Concordant
