UID,Group,Group_RAVLT_Total,Group_RAVLT_Pct_Ret,Discrepancy,Discrepancy_PctRet,Age,Education,VR_Experience,NART,BVMT
A010,VR-favored,VR-favored,VR-favored,2.338310406868239,2.7671211610132422,22,6,4,40.0,35
A011,RAVLT-favored,RAVLT-favored,Concordant,-1.2470364728808838,0.7734931617578757,21,2,2,33.0,34
A012,VR-favored,VR-favored,Concordant,1.3055042816488749,0.5143177348665035,21,4,2,32.0,31
A013,Concordant,Concordant,Concordant,-0.1772508382984908,0.551248816756884,22,6,2,27.0,27
A014,Concordant,Concordant,Concordant,-0.5561757068139154,-0.2292496530332185,22,6,4,33.0,35
A015,VR-favored,VR-favored,Concordant,2.738594911932821,0.6039689185510473,23,6,2,38.0,31
A016,Concordant,Concordant,Concordant,-0.2378447196425194,1.1138213589916328,21,6,2,27.0,34
A017,VR-favored,VR-favored,Concordant,1.7502465783168115,0.0322244117459242,24,8,1,6.0,32
A018,RAVLT-favored,RAVLT-favored,Concordant,-1.3903801568701948,-0.3943351566277615,23,6,2,29.0,33
A019,RAVLT-favored,RAVLT-favored,RAVLT-favored,-1.7286425430980357,-1.8524334498934123,20,5,1,29.0,30
A020,RAVLT-favored,RAVLT-favored,Concordant,-1.6431016792719713,-0.9326001021136552,26,6,1,12.0,31
A021,Concordant,Concordant,Concordant,-0.1798314764240753,0.0286393480450917,28,6,1,,33
A022,Concordant,Concordant,VR-favored,0.2384664914280094,1.6390209249803482,28,8,0,14.0,27
A023,Concordant,Concordant,RAVLT-favored,-0.6816479447431323,-1.432370933101224,26,6,2,37.0,24
A024,Concordant,Concordant,Concordant,-0.1176419933075331,-0.7591639887227933,29,8,4,25.0,28
A025,Concordant,Concordant,Concordant,-0.1279484819421977,0.3405367578200737,26,6,2,42.0,33
A026,VR-favored,VR-favored,VR-favored,1.501093698765389,2.072461527137021,29,8,1,29.0,31
A027,Concordant,Concordant,Concordant,-1.2026603893438477,-0.325070618412944,28,6,1,29.0,36
A028,Concordant,Concordant,Concordant,0.0218199286362121,0.1782752163460776,26,7,1,34.0,34
A029,Concordant,Concordant,VR-favored,0.2838408869620663,1.732900589746898,25,6,1,30.0,35
A030,VR-favored,VR-favored,Concordant,1.4249209587468847,0.6337344119645134,31,8,1,25.0,33
A031,Concordant,Concordant,VR-favored,0.8014815410943483,1.1688395190476233,32,6,2,26.0,30
A032,Concordant,Concordant,Concordant,0.6687036105066773,-0.555840295097533,33,6,1,30.0,31
A033,Concordant,Concordant,Concordant,0.3879466311039753,-0.0654255653778481,32,6,2,34.0,26
A034,Concordant,Concordant,Concordant,-0.5675188362113255,0.6654366226541671,33,6,1,31.0,34
A035,Concordant,Concordant,Concordant,-0.4690041331241939,0.8199879109416681,34,7,2,45.0,34
A036,Concordant,Concordant,Concordant,0.2187736220437379,-0.2603829726862275,30,6,2,43.0,28
A037,Concordant,Concordant,Concordant,-0.0480713482555311,-0.6803391073020933,31,7,2,18.0,36
A038,RAVLT-favored,RAVLT-favored,Concordant,-1.208481261412487,0.4982951146991236,32,4,1,38.0,27
