metric,variable,F_stat,df1,df2,p_uncorrected,p_bonferroni,eta_squared
RAVLT_Total,Age,0.8406443274438988,2,97,0.4345509664996623,1.0,0.017037562822752265
RAVLT_Total,Education,2.8071533138807836,2,97,0.06528978489208244,0.9793467733812365,0.054712708317834646
RAVLT_Total,VR_Experience,0.44117518314440035,2,97,0.6445642853753157,1.0,0.009014397008111547
RAVLT_Total,NART,1.2798024581807566,2,94,0.2828925777208388,1.0,0.026508030128940627
RAVLT_Total,BVMT,0.2191884567216621,2,97,0.8035670504406123,1.0,0.004499016992378105
RAVLT_Pct_Ret,Age,0.10318043007505664,2,97,0.9020630773333655,1.0,0.002122915191187982
RAVLT_Pct_Ret,Education,0.11811171654332081,2,97,0.8887243746669103,1.0,0.0024293768797921133
RAVLT_Pct_Ret,VR_Experience,0.8900468254334652,2,97,0.4139630554567669,1.0,0.01802077306343299
RAVLT_Pct_Ret,NART,1.4992640163648365,2,94,0.2285848057644777,1.0,0.030913129235506463
RAVLT_Pct_Ret,BVMT,0.768755323476947,2,97,0.4663931538692263,1.0,0.015603303116338892
