metric,variable,effect_size_f2,sample_size,observed_power,adequate
RAVLT_Total,Age,0.017332872730802005,100,0.053381456882531264,no
RAVLT_Total,Education,0.05787944977073773,100,0.08840075380702861,no
RAVLT_Total,VR_Experience,0.009096395528750467,100,0.050929952940587886,no
RAVLT_Total,NART,0.027229839535760764,97,0.058112545490635825,no
RAVLT_Total,BVMT,0.004519349623127045,100,0.05022945044641003,no
RAVLT_Pct_Ret,Age,0.0021274315479392326,100,0.05005083944652977,no
RAVLT_Pct_Ret,Education,0.0024352931246045305,100,0.050066618722355294,no
RAVLT_Pct_Ret,VR_Experience,0.018351480936772392,100,0.05379149879944334,no
RAVLT_Pct_Ret,NART,0.03189923439074109,97,0.061152614114801995,no
RAVLT_Pct_Ret,BVMT,0.015850625226328695,100,0.05282690848030691,no
