fold,model,train_R2,test_R2,RMSE,MAE
1,Model_1_Total,0.09301996373214982,-0.2133189311721475,0.6154280865162958,0.5364075416632119
2,Model_1_Total,0.0787537719314988,0.023727175392928346,0.8016341947647944,0.596634528710372
3,Model_1_Total,0.1004532596704455,-0.12479269790670222,0.6726227532519079,0.5231649021421794
4,Model_1_Total,0.07627688840056768,-0.06101140105215053,0.6021812080740129,0.46059131582855856
5,Model_1_Total,0.04356126278878869,0.20560141656474018,0.5820658848203784,0.4880130907205628
1,Model_2_Learning,0.033021549084387924,-0.15780310407620668,0.6011836768918791,0.4933423757436991
2,Model_2_Learning,0.011799206710825239,0.011999138401637577,0.8064348652712381,0.6447635133943039
3,Model_2_Learning,0.043564524922782066,-0.1548238088663323,0.6815428637962301,0.4842634599532817
4,Model_2_Learning,0.017370389719004953,-0.056722421421041114,0.6009628619234636,0.5005282822117534
5,Model_2_Learning,0.060777902678445406,-0.1286256586590382,0.6937897431362192,0.508017716728868
1,Model_3_LearningSlope,0.08121932336907878,-0.15926564506969054,0.6015632657332192,0.49317035892790245
2,Model_3_LearningSlope,0.03972261998903981,0.08365546582695682,0.7766404940402442,0.6110093235619503
3,Model_3_LearningSlope,0.09052242743588523,-0.1423429787502164,0.6778499504048473,0.4912553691515728
4,Model_3_LearningSlope,0.06028384349537119,-0.020966290080264738,0.5907080301784102,0.48854968513539365
5,Model_3_LearningSlope,0.0862562440184863,-0.005422878701557998,0.6548280840741243,0.4923003549022943
1,Model_4_Forgetting,0.1343113904823212,-0.1481013954930881,0.5986595954975884,0.4952450439698818
2,Model_4_Forgetting,0.06941858694517822,0.17059402522156975,0.7388805148336576,0.6180887786357866
3,Model_4_Forgetting,0.1287368827624341,-0.019087746400946903,0.6402374882289424,0.4778958669285417
4,Model_4_Forgetting,0.11279680331590614,0.02909696748812496,0.5760432633897428,0.48779045696214557
5,Model_4_Forgetting,0.14918973467423657,-0.02371296129976419,0.6607573705522153,0.4889812543920864
1,Model_5_Recognition,0.022954847829448122,-0.13296188455309466,0.5946993655968885,0.5091297109350201
2,Model_5_Recognition,0.015027337443740518,-0.0005728211461089039,0.8115494448139042,0.6495123385507291
3,Model_5_Recognition,0.022975251509211314,-0.06401325727114782,0.6541974242221427,0.5143772935071645
4,Model_5_Recognition,0.08319217000612678,-0.5215061792600888,0.7211141765535604,0.5853121231783605
5,Model_5_Recognition,0.012021109267318808,0.0860159494061209,0.6243415293413229,0.4725063273455879
1,Model_6_PctRet,0.12220584904451515,-0.15720892520461494,0.6010293948386752,0.5081754141611738
2,Model_6_PctRet,0.07490136708476225,0.1267855814474368,0.7581429191852693,0.6238434767419696
3,Model_6_PctRet,0.11920293468039889,-0.04231073560624399,0.6474912676808992,0.4857719404348003
4,Model_6_PctRet,0.11564064049229539,-0.06674923597515514,0.6038072780633156,0.5097301083364745
5,Model_6_PctRet,0.10279085399375354,0.12393534158286756,0.611252988725727,0.47208980400856226
1,Model_7_Combined,0.1413607449093267,-0.1733031491668222,0.6051944597923536,0.5243113923045569
2,Model_7_Combined,0.09942897820965013,0.10858891862808451,0.7660015499029125,0.5682045251486165
3,Model_7_Combined,0.1645985165826016,-0.19920194409209335,0.6945147476887936,0.48904358080003385
4,Model_7_Combined,0.10260839926025589,0.06799762775697793,0.5643852851916699,0.4315396087257694
5,Model_7_Combined,0.10922699589253526,0.1330700098217048,0.6080578908939323,0.4983946854495381
