UID,Profile,Max_Posterior_Prob
A010,0,1.0
A011,0,1.0
A012,0,1.0
A013,0,1.0
A014,0,1.0
A015,0,1.0
A016,0,1.0
A017,0,1.0
A018,0,1.0
A019,0,1.0
A020,0,1.0
A021,0,1.0
A022,0,1.0
A023,0,1.0
A024,0,1.0
A025,0,1.0
A026,0,1.0
A027,0,1.0
A028,0,1.0
A029,0,1.0
A030,0,1.0
A031,0,1.0
A032,0,1.0
A033,0,1.0
A034,0,1.0
A035,0,1.0
A036,0,1.0
A037,0,1.0
A038,0,1.0
A039,0,1.0
A040,0,1.0
A041,0,1.0
A042,0,1.0
A043,0,1.0
A044,0,1.0
A045,0,1.0
A046,0,1.0
A047,0,1.0
A048,0,1.0
A049,0,1.0
A050,0,1.0
A051,0,1.0
A052,0,1.0
A053,0,1.0
A054,0,1.0
A055,0,1.0
A056,0,1.0
A057,0,1.0
A058,0,1.0
A059,0,1.0
A060,0,1.0
A061,0,1.0
A062,0,1.0
A063,0,1.0
A064,0,1.0
A065,0,1.0
A066,0,1.0
A067,0,1.0
A068,0,1.0
A069,0,1.0
A070,0,1.0
A071,0,1.0
A072,0,1.0
A073,0,1.0
A074,0,1.0
A075,0,1.0
A076,0,1.0
A077,0,1.0
A078,0,1.0
A079,0,1.0
A080,0,1.0
A081,0,1.0
A082,0,1.0
A083,0,1.0
A084,0,1.0
A085,0,1.0
A086,0,1.0
A087,0,1.0
A088,0,1.0
A089,0,1.0
A090,0,1.0
A091,0,1.0
A092,0,1.0
A093,0,1.0
A094,0,1.0
A095,0,1.0
A096,0,1.0
A097,0,1.0
A098,0,1.0
A099,0,1.0
A100,0,1.0
A101,0,1.0
A102,0,1.0
A103,0,1.0
A104,0,1.0
A105,0,1.0
A106,0,1.0
A107,0,1.0
A108,0,1.0
A109,0,1.0
