model,fold,train_r2,cv_r2,shrinkage
Minimal,1,0.09351697284803162,-0.4389600594268286,0.5324770322748602
Minimal,2,0.09311031977236972,-0.10914240965280886,0.20225272942517858
Minimal,3,0.14002265728040275,-0.09074769312304687,0.23077035040344962
Minimal,4,0.09157323253970706,0.06257968408461256,0.028993548455094498
Minimal,5,0.10438228890029333,0.06761119121673109,0.03677109768356224
Core,1,0.14852833075560334,-0.314149760509443,0.46267809126504633
Core,2,0.13719729693090543,0.04035152265535613,0.0968457742755493
Core,3,0.22546475583233105,-0.19083457990674613,0.4162993357390772
Core,4,0.17529796100805084,-0.006260291761647885,0.18155825276969872
Core,5,0.12965078189793633,0.19325005006099194,-0.06359926816305561
Extended,1,0.20369386231437303,0.03583441409736576,0.16785944821700727
Extended,2,0.26691717824379535,-0.15909358031215737,0.4260107585559527
Extended,3,0.28696242801293415,-0.020189581386710564,0.3071520093996447
Extended,4,0.2635173315088827,0.1172103630878979,0.14630696842098478
Extended,5,0.27679058291017455,0.1107677279841891,0.16602285492598545
Full,1,0.23699330440327437,-0.048300214151727916,0.2852935185550023
Full,2,0.3009744745563242,-0.27931242684888336,0.5802869014052076
Full,3,0.3062317372850776,-0.0069000725606365165,0.3131318098457141
Full,4,0.2923686106350438,0.07665959323699834,0.2157090173980455
Full,5,0.29649933833441366,0.03516160570670268,0.261337732627711
Full+Retention,1,0.3200847917902554,-0.27376904321850604,0.5938538350087614
Full+Retention,2,0.386091347489843,-0.7999913473247937,1.1860826948146368
Full+Retention,3,0.37169483470600395,-0.32479276715164684,0.6964876018576508
Full+Retention,4,0.3206013234218743,0.18082436820468495,0.13977695521718936
Full+Retention,5,0.32972697308582855,0.05746061838077254,0.272266354705056
