predictor1,predictor2,correlation,p_value
ravlt,bvmt,0.29284444560794026,0.0031091497587875765
ravlt,rpm,0.1555312061135448,0.1223034614505303
ravlt,age,-0.12201257299311566,0.22654381785968492
ravlt,pctret,0.19886584923974632,0.047309965268976135
bvmt,rpm,0.4881396791745488,2.5804911595470913e-07
bvmt,age,-0.5454815482953167,4.3941197761427484e-09
bvmt,pctret,0.25395638600205295,0.010785281966852623
rpm,age,-0.293363950323408,0.0030542580061364093
rpm,pctret,0.25728217466796216,0.009762453523684643
age,pctret,-0.17360220979317306,0.08410702464172692
