domain,predictor,beta,se,t_value,p_value
What,intercept,-0.0072221286636249896,0.05583512988993214,-0.12934739612609447,0.8973591395529955
What,ravlt_z,0.02683955407047726,0.059313880360532124,0.4525003912631636,0.6519511338901025
What,bvmt_z,0.10197554772949753,0.07591471054676736,1.343291003746571,0.1824118792113801
What,rpm_z,0.1969068610358607,0.06514565483123308,3.022563232282635,0.0032298489110021526
What,age_z,0.0019384069838634982,0.06714442050709254,0.028869219053856338,0.9770300993575641
What,pctret_z,0.13114017651697416,0.05934952166865562,2.2096248264496707,0.02955956879463103
Where,intercept,0.036789546436750004,0.059017484024764366,0.6233669063444439,0.5345530850358577
Where,ravlt_z,-0.010725072507969884,0.06269450780404988,-0.171068772746264,0.8645373931497479
Where,bvmt_z,0.11328665717852568,0.08024151149590705,1.411821076978394,0.16130441569657608
Where,rpm_z,0.22290131700515106,0.06885866748880567,3.237084380719218,0.0016685903232089947
Where,age_z,0.03889053607473979,0.07097135392074953,0.5479751184987547,0.5850079308321869
Where,pctret_z,0.1416579393750625,0.06273218050825863,2.258138298833935,0.026250207096188322
When,intercept,0.10869476563825002,0.0275545445406705,3.944712839575939,0.00015389588686023537
When,ravlt_z,-0.03270819999264768,0.029271302162207077,-1.1174152694470172,0.2666646774150562
When,bvmt_z,0.04017493497148858,0.03746378448794815,1.0723672346666577,0.2863005355001301
When,rpm_z,0.054182031822696666,0.0321492732481676,1.685326800529927,0.09524267847751067
When,age_z,-0.018651041524861765,0.033135660813673445,-0.5628691586909715,0.5748640428594416
When,pctret_z,-0.010291224157191704,0.02928889108900124,-0.3513695389121896,0.7260974900652708
