predictor,context,domain,cohens_f2,ci_lower,ci_upper
ravlt,univariate,What,0.0021782617456733784,0.0,0.10017826174567339
ravlt,univariate,Where,0.0003113247341372044,0.0,0.09831132473413721
ravlt,univariate,When,0.01328315834461001,0.0,0.11128315834461001
bvmt,univariate,What,0.0191960714973027,0.0,0.11719607149730271
bvmt,univariate,Where,0.021204667589366368,0.0,0.11920466758936638
bvmt,univariate,When,0.012233739212623503,0.0,0.1102337392126235
rpm,univariate,What,0.09719030311858341,0.0,0.19519030311858343
rpm,univariate,Where,0.11147569455208825,0.013475694552088247,0.20947569455208825
rpm,univariate,When,0.0302162385594089,0.0,0.1282162385594089
age,univariate,What,8.866295838017965e-06,0.0,0.09800886629583802
age,univariate,Where,0.003194433303124591,0.0,0.1011944333031246
age,univariate,When,0.0033704435085690574,0.0,0.10137044350856907
pctret,univariate,What,0.051940870996411766,0.0,0.14994087099641176
pctret,univariate,Where,0.05424668698575088,0.0,0.1522466869857509
pctret,univariate,When,0.0013134101369716956,0.0,0.0993134101369717
ravlt,multivariate,What,0.0019604355711060405,0.0,0.10196043557110604
ravlt,multivariate,Where,0.00028019226072348394,0.0,0.10028019226072349
ravlt,multivariate,When,0.01195484251014901,0.0,0.11195484251014902
bvmt,multivariate,What,0.01727646434757243,0.0,0.11727646434757244
bvmt,multivariate,Where,0.01908420083042973,0.0,0.11908420083042974
bvmt,multivariate,When,0.011010365291361153,0.0,0.11101036529136116
rpm,multivariate,What,0.08747127280672508,0.0,0.1874712728067251
rpm,multivariate,Where,0.10032812509687943,0.0003281250968794197,0.20032812509687942
rpm,multivariate,When,0.027194614703468012,0.0,0.12719461470346802
age,multivariate,What,7.97966625421617e-06,0.0,0.10000797966625422
age,multivariate,Where,0.0028749899728121317,0.0,0.10287498997281214
age,multivariate,When,0.003033399157712152,0.0,0.10303339915771216
pctret,multivariate,What,0.04674678389677059,0.0,0.1467467838967706
pctret,multivariate,Where,0.04882201828717579,0.0,0.14882201828717578
pctret,multivariate,When,0.001182069123274526,0.0,0.10118206912327453
