predictor,context,domain,cohens_f2,ci_lower,ci_upper
ravlt,univariate,What,0.0006246820384318,0.0,0.0986246820384318
ravlt,univariate,Where,0.0038292422885328,0.0,0.1018292422885328
ravlt,univariate,When,0.0205303806694699,0.0,0.1185303806694699
bvmt,univariate,What,0.031523014814331,0.0,0.129523014814331
bvmt,univariate,Where,0.0291943355695449,0.0,0.127194335569545
bvmt,univariate,When,0.006010696201283,0.0,0.104010696201283
rpm,univariate,What,0.117123597272,0.019123597272,0.215123597272
rpm,univariate,Where,0.1323262028028496,0.0343262028028495,0.2303262028028496
rpm,univariate,When,0.0299531058318665,0.0,0.1279531058318665
age,univariate,What,1.675703577249048e-06,0.0,0.0980016757035772
age,univariate,Where,0.0031826343077822,0.0,0.1011826343077823
age,univariate,When,0.0077395113141103,0.0,0.1057395113141103
