UID,theta_overall_day0,theta_what_day0,theta_where_day0,theta_when_day0
A010,2.7277744,1.9723079,2.4439983,-0.24154915
A011,0.99576205,1.1758701,0.9860436,0.22548166
A012,1.5109797,1.317989,1.4285018,0.7508862
A013,0.2579466,0.085204296,0.09202722,-0.21120891
A014,0.9670465,0.990247,0.840902,0.37932342
A015,1.7906865,1.7676418,1.7240337,1.6497607
A016,1.3865802,1.0766052,1.42478,-0.4965228
A017,-0.12061626,-0.40713716,0.014488589,-0.18879388
A018,0.34396127,0.32558995,0.33654568,0.23296411
A019,-0.44238952,-0.015733648,-0.6979575,-0.4402759
A020,-0.036810145,-0.01839159,-0.079359196,-0.24716589
A021,1.366235,1.0875474,1.2243092,0.8683164
A022,0.1020859,-0.07678151,-0.02021975,-0.29673445
A023,0.8812526,0.59516215,0.8410934,0.1523731
A024,0.33348504,0.079528205,0.4682902,0.58032763
A025,0.99917114,0.9811938,1.0470951,1.8713145
A026,1.0569059,0.85312533,1.0557629,0.78948355
A027,0.9770042,0.8339228,0.8734448,-0.22206005
A028,1.5710772,1.3888893,1.5852748,0.6571814
A029,1.7016916,1.4967275,1.8794568,-0.440256
A030,0.33380765,0.2812619,0.21859212,-0.59050345
A031,2.2557483,2.098076,2.1835008,0.38252574
A032,0.8067235,0.9237079,0.7973815,1.4072789
A033,0.43369794,0.35103184,0.22796804,-0.48073784
A034,2.0359054,1.638878,1.6937131,1.3157963
A035,-0.06479133,-0.060081527,-0.11286555,0.14575137
A036,1.3283472,0.97793245,1.2830837,-0.4841802
A037,1.1801162,1.2614937,1.2661066,1.9352602
A038,1.2059275,1.2025418,1.1532568,1.352358
A039,2.174663,2.252001,2.261533,1.9235764
A040,-0.5069201,-0.36999494,-0.43747115,-0.525572
A041,1.1962991,1.2257649,1.3058646,0.8479543
A042,-0.8806226,-0.8475921,-0.90481186,-0.29010308
A043,1.0349586,0.78068006,1.1258926,-0.380481
A044,-0.0888245,-0.12027291,-0.071484536,-0.45429626
A045,-0.9017756,-0.90017945,-0.8901351,0.053384863
A046,-0.7687857,-0.55372006,-0.7594207,0.5674494
A047,-0.7466336,-0.4363785,-0.77400184,-0.14259496
A048,1.0764405,1.0746682,1.2967834,0.6236336
A049,2.1010969,2.0709105,2.1550138,2.0706832
A050,-0.39878848,-0.5759458,-0.27281812,-0.6450708
A051,1.5230782,1.2619079,1.7481024,-0.24766746
A052,0.58457315,0.9840419,0.27368045,1.4184871
A053,1.401935,1.1032048,1.3134335,-0.32272992
A054,0.52522403,0.5364078,0.44365084,0.8520787
A055,0.28537354,0.12596902,0.2548027,0.22504854
A056,0.5282342,0.25282967,0.53407556,-0.660795
A057,0.4946756,0.37111652,0.5566227,-0.29681718
A058,1.0215306,0.86404234,1.0633141,0.88526887
A059,0.99710035,1.0408934,0.8121099,0.831746
A060,-0.051358394,0.076296605,-0.18527703,-0.49958816
A061,2.529091,2.5348673,2.4665449,2.0627139
A062,1.5359104,1.241772,1.5600666,0.37512586
A063,0.86206603,0.7833641,0.9488983,-0.040614642
A064,0.83211017,1.0437275,0.6850892,1.5389558
A065,-2.2385516,-2.1746836,-2.1264358,-0.74250513
A066,0.46571386,0.5877305,0.4814991,-0.37220883
A067,0.6627066,0.88467497,0.5986335,1.0609406
A068,1.3038205,1.5781611,1.186578,1.015199
A069,-0.7867887,-0.41606086,-0.96561235,-0.2596027
A070,0.5967721,0.5219151,0.66849816,0.02069249
A071,1.1001538,0.8269955,1.1825029,-0.4742308
A072,0.9622242,0.81125784,0.9963321,-0.16149792
A073,0.8751058,0.6544795,0.8587265,-0.5174654
A074,1.1391835,0.9347626,1.0983253,1.2813684
A075,0.4822121,0.25188833,0.7470089,-0.54059076
A076,-0.39436588,-0.48276085,-0.44263244,-0.5056021
A077,1.257486,1.3145027,1.0192841,1.5040148
A078,0.05510661,0.023597341,0.07454012,-0.10844841
A079,0.49688977,0.13202901,0.53766596,-0.7119632
A080,0.35685366,0.43105462,0.38280243,0.57000864
A081,0.56923956,0.41316152,0.50441945,0.8564262
A082,0.47511065,0.70349485,0.35655326,1.7644588
A083,1.9135383,1.716006,2.0168736,-0.31841132
A084,0.37614724,0.27613997,0.5691112,1.4150648
A085,0.29977113,0.11177244,0.2899799,-0.47458923
A086,0.9054527,0.67570555,0.97849166,-0.23130356
A087,1.164813,1.2110579,1.2821014,1.4052566
A088,2.00997,1.4964592,2.1475084,-0.08135233
A089,1.6034564,1.3879722,1.5649729,1.7083962
A090,0.20163605,0.5685513,0.099213794,0.7624718
A091,0.64397514,0.6446007,0.7014804,0.86372465
A092,-0.28513366,-0.45725018,-0.13686992,-0.4826386
A093,0.56161565,0.40196308,0.44534478,-0.3689992
A094,-0.70889944,-0.4338472,-0.71144027,0.823974
A095,1.5409168,1.5629785,1.4802225,0.63964266
A096,-0.45961466,-0.5876299,-0.4121188,-0.6160523
A097,0.24293853,0.30110675,0.14475676,-0.36350635
A098,0.6008492,0.63542306,0.8269297,0.4971533
A099,1.1219946,0.8915915,1.0796213,-0.2180019
A100,-0.06985861,0.07399175,-0.19057651,1.4684601
A101,-1.0356112,-1.1400971,-0.9462252,0.65641433
A102,-0.044223346,-0.1090957,-0.024540316,-0.2566523
A103,1.7611793,1.5837513,1.5713539,-0.42076415
A104,1.7474676,1.9797188,1.6869882,1.8159056
A105,0.61165696,0.6786545,0.7042392,-0.13496135
A106,1.1972102,1.5945877,1.314505,1.1422098
A107,-0.71622896,-0.6293192,-0.7827122,0.97875214
A108,-0.4913459,-0.6797666,-0.46580803,-0.13473348
A109,-0.25337747,-0.29406714,-0.24901082,-0.63438576
